Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
2015-03-02,INDUSINDBK,EQ,916.55,925.0,949.9,914.0,942.0,944.5,931.62,1263167,117679238630000.0,23032.0,464645.0,0.3678,2015,3,2,0.0,0.0,72.26189108950074
2015-03-03,INDUSINDBK,EQ,944.5,945.0,945.0,926.0,937.55,938.6,934.72,617171,57688224479999.99,12989.0,228513.0,0.3703,2015,3,3,0.0,0.0,69.95382601060332
2015-03-04,INDUSINDBK,EQ,938.6,959.9,962.55,903.1,906.65,908.2,935.97,996972,93313404785000.0,17605.0,497593.0,0.4991,2015,3,4,0.0,0.0,59.42223541095901
2015-03-05,INDUSINDBK,EQ,908.2,909.8,917.85,893.15,913.4,913.2,906.34,739059,66983899520000.01,17336.0,315637.0,0.4271,2015,3,5,0.0,0.0,60.47619119017397
2015-03-09,INDUSINDBK,EQ,913.2,908.0,910.0,890.5,894.1,895.2,900.43,1121892,101018410830000.0,16419.0,766237.0,0.6829999999999999,2015,3,9,0.0,0.0,54.94348441875463
2015-03-10,INDUSINDBK,EQ,895.2,898.0,913.55,888.55,903.6,896.75,901.1,949910,85596436025000.0,22911.0,492418.0,0.5184000000000001,2015,3,10,0.0,0.0,55.3225250084883
2015-03-11,INDUSINDBK,EQ,896.75,898.1,905.0,885.1,889.95,890.2,891.7,661190,58958288460000.0,13950.0,330538.0,0.4999,2015,3,11,0.0,0.0,53.2826289167964
2015-03-12,INDUSINDBK,EQ,890.2,893.0,902.5,888.8,889.4,891.8,892.18,678466,60531060875000.0,14847.0,434105.0,0.6398,2015,3,12,0.0,0.0,53.73143163640789
2015-03-13,INDUSINDBK,EQ,891.8,895.0,897.3,865.25,875.0,875.2,878.45,789147,69322672390000.0,21046.0,381714.0,0.4836999999999999,2015,3,13,857.4960000000001,0.0,48.523102361263135
2015-03-16,INDUSINDBK,EQ,875.2,875.25,888.8,866.25,880.8,877.25,880.47,637728,56150304165000.0,12604.0,305618.0,0.4792,2015,3,16,858.801,0.0,49.17826625257156
2015-03-17,INDUSINDBK,EQ,877.25,882.1,908.8,880.8,907.0,903.15,892.12,578263,51587916185000.0,14306.0,260616.0,0.4507,2015,3,17,860.5459999999999,0.0,56.67992603804741
2015-03-18,INDUSINDBK,EQ,903.15,907.4,920.9,896.0,902.5,903.2,910.69,1120286,102023552460000.0,28647.0,477326.0,0.4261,2015,3,18,862.2280000000001,0.0,56.69321584726822
