Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
2020-01-17,AXISBANK,EQ,737.3,734.85,742.45,730.85,737.7,739.9,738.36,7678864,566973424495000.0,117330.0,3270942.0,0.426,2020,1,17,737.977,734.08925,50.1891282788418
2020-01-20,AXISBANK,EQ,739.9,742.95,746.2,725.0,727.1,727.2,732.55,10677371,782169841945000.0,115171.0,5483317.0,0.5135000000000001,2020,1,20,737.826,733.93975,44.22278907937554
2020-01-21,AXISBANK,EQ,727.2,726.35,729.6,716.05,717.45,717.6,722.46,8242803,595509123505000.0,104303.0,2591331.0,0.3144,2020,1,21,737.668,733.73125,40.32085264174034
2020-01-22,AXISBANK,EQ,717.6,717.0,722.75,706.6,709.3,712.6,712.36,13321307,948953848570000.0,164845.0,5397469.0,0.4052,2020,1,22,737.2459999999999,733.39075,38.419472668853025
2020-01-23,AXISBANK,EQ,712.6,725.05,737.55,719.4,723.9,723.0,727.22,20643257,1501212423290000.0,254963.0,6571333.0,0.3182999999999999,2020,1,23,737.482,733.1195,44.302770314895554
2020-01-24,AXISBANK,EQ,723.0,723.4,741.7,720.4,739.0,737.4,732.15,9541490,698581824145000.0,116304.0,2443824.0,0.2561,2020,1,24,737.9119999999999,732.9784999999999,51.247959088496984
2020-01-27,AXISBANK,EQ,737.4,732.45,748.45,731.0,738.7,740.25,741.74,9170435,680208055335000.0,131972.0,3482697.0,0.3797999999999999,2020,1,27,738.3789999999999,732.8427499999999,52.51013092049398
2020-01-28,AXISBANK,EQ,740.25,738.4,746.5,735.0,735.4,737.15,741.62,7836737,581184914645000.0,107517.0,3282526.0,0.4189,2020,1,28,738.663,732.721,50.96453740781055
2020-01-29,AXISBANK,EQ,737.15,740.0,745.5,733.55,735.5,735.25,739.59,7985274,590585044420000.0,120322.0,3587763.0,0.4493,2020,1,29,738.4119999999999,732.5865000000001,49.99326669978009
2020-01-30,AXISBANK,EQ,735.25,735.75,736.4,727.3,730.9,730.9,731.04,6041343,441644266615000.0,97869.0,2511072.0,0.4156,2020,1,30,738.055,732.43,47.74958056003608
2020-01-31,AXISBANK,EQ,730.9,734.7,737.25,725.2,731.0,729.3,730.38,8345819,609563006555000.0,92273.0,3294169.0,0.3947,2020,1,31,737.893,732.3034999999999,46.915548402893684
2020-02-01,AXISBANK,EQ,729.3,728.55,734.35,702.0,707.0,705.45,716.97,7341770,526383146860000.06,94750.0,2422082.0,0.3299,2020,2,1,737.36,732.01375,36.64153777442256
2020-02-03,AXISBANK,EQ,705.45,704.7,712.8,695.55,707.95,708.95,704.27,11594991,816600423605000.0,420772.0,4334502.0,0.3738,2020,2,3,736.444,731.7542499999998,38.76095267674873
2020-02-04,AXISBANK,EQ,708.95,712.45,720.6,710.0,715.2,715.0,715.5,9653925,690740816985000.0,122548.0,4303984.0,0.4458,2020,2,4,735.699,731.5677499999999,42.350805260272125
2020-02-05,AXISBANK,EQ,715.0,719.45,725.65,715.2,724.7,724.05,720.37,7975101,574499390980000.0,116758.0,3578476.0,0.4487,2020,2,5,735.1220000000001,731.36625,47.32508201841852
2020-02-06,AXISBANK,EQ,724.05,727.45,745.0,723.0,736.7,736.95,736.25,9627252,708807914790000.0,166598.0,4155779.0,0.4317,2020,2,6,734.8489999999999,731.2367499999999,53.48600971206775
2020-02-07,AXISBANK,EQ,736.95,736.7,749.2,734.0,746.3,748.15,742.76,8438354,626769759465000.0,93643.0,3440633.0,0.4077,2020,2,7,735.0310000000001,731.1220000000001,58.0712981098752
2020-02-10,AXISBANK,EQ,748.15,746.3,746.8,739.0,739.2,741.1,742.03,4713339,349745592315000.0,66263.0,1934006.0,0.4103,2020,2,10,734.967,730.9715,54.43376299653077
2020-02-11,AXISBANK,EQ,741.1,743.0,757.1,742.0,749.65,749.95,750.81,7845657,589059547235000.0,108614.0,3218862.0,0.4103,2020,2,11,735.2979999999999,730.94375,57.99110601802365
2020-02-12,AXISBANK,EQ,749.95,752.0,760.7,751.0,753.8,755.25,756.6,6190440,468370891005000.0,102021.0,2332473.0,0.3768,2020,2,12,735.6059999999999,730.95375,60.00486296359016
2020-02-13,AXISBANK,EQ,755.25,751.1,753.45,742.3,746.45,747.8,746.12,5031706,375425067235000.0,104948.0,2322173.0,0.4615,2020,2,13,735.977,730.9284999999999,55.94516739153909
2020-02-14,AXISBANK,EQ,747.8,748.1,752.55,732.1,736.5,736.5,739.84,6155000,455374064785000.06,84125.0,1868806.0,0.3036,2020,2,14,736.355,730.9064999999999,50.37776317197645
2020-02-17,AXISBANK,EQ,736.5,737.4,743.1,730.2,738.5,738.4,736.29,4275465,314798107600000.0,68454.0,967309.0,0.2262,2020,2,17,736.4830000000001,730.7990000000001,51.2561182750312
2020-02-18,AXISBANK,EQ,738.4,737.75,737.75,724.7,735.5,733.65,730.59,5215502,381038973080000.0,83149.0,2306813.0,0.4422999999999999,2020,2,18,736.8420000000001,730.633,48.92456441944527
2020-02-19,AXISBANK,EQ,733.65,740.65,745.1,735.35,741.5,741.05,740.45,4372673,323773722290000.0,85398.0,1131482.0,0.2588,2020,2,19,737.332,730.5764999999999,52.54611306400986
2020-02-20,AXISBANK,EQ,741.05,742.75,754.0,737.6,745.5,744.3,747.21,7529403,562605528905000.0,126586.0,2931576.0,0.3893999999999999,2020,2,20,737.7760000000001,730.5115000000001,54.08591376889477
2020-02-24,AXISBANK,EQ,744.3,737.95,738.4,723.0,725.5,725.45,731.78,6589087,482179427320000.0,114364.0,2770940.0,0.4205,2020,2,24,737.245,730.4014999999999,44.97125512233933
2020-02-25,AXISBANK,EQ,725.45,729.4,732.0,722.05,730.0,728.75,728.05,5419596,394575604650000.0,86168.0,2005169.0,0.37,2020,2,25,736.875,730.3359999999999,46.665785690053475
2020-02-26,AXISBANK,EQ,728.75,725.3,735.75,722.0,728.3,729.4,729.54,7136975,520667323520000.0,115827.0,3438359.0,0.4818,2020,2,26,736.55,730.3054999999999,47.01190213163661
2020-02-27,AXISBANK,EQ,729.4,728.7,739.45,716.55,737.3,735.85,728.51,8867328,645990908260000.0,157080.0,3686993.0,0.4158,2020,2,27,736.43,730.3297499999999,50.448318406032655
