,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,year,month,day,SMA_50,SMA_200,RSI
3855,2016-10-06,KOTAKBANK,EQ,782.15,782.0,790.0,777.5,780.7,783.0,786.19,1362633,107128271535000.0,32002.0,1014384.0,0.7444,2016,10,6,783.0880000000001,720.86625,46.22874057784445
3856,2016-10-07,KOTAKBANK,EQ,783.0,782.6,785.0,775.15,782.55,782.65,782.18,740458,57916792104999.99,14263.0,386693.0,0.5222,2016,10,7,783.707,721.307,46.01583768759641
3857,2016-10-10,KOTAKBANK,EQ,782.65,784.9,785.5,779.0,780.25,780.2,781.5,749600,58580978475000.0,17423.0,455585.0,0.6078,2016,10,10,784.2309999999999,721.692,44.47187205120614
3858,2016-10-13,KOTAKBANK,EQ,780.2,778.0,778.15,765.3,775.5,772.35,771.69,1764056,136130632850000.0,42722.0,1035669.0,0.5871000000000001,2016,10,13,784.6709999999999,722.0415,39.85734763756162
3859,2016-10-14,KOTAKBANK,EQ,772.35,776.0,783.95,770.6,780.0,781.75,778.37,1033080,80412021450000.0,17525.0,587957.0,0.5690999999999999,2016,10,14,785.036,722.4207500000001,46.955203911323
3860,2016-10-17,KOTAKBANK,EQ,781.75,782.9,782.9,764.0,770.0,769.25,770.97,1920064,148031387570000.0,23754.0,1528848.0,0.7962,2016,10,17,785.3579999999998,722.7760000000001,40.16665257614564
3861,2016-10-18,KOTAKBANK,EQ,769.25,774.9,780.95,769.9,775.35,776.95,774.13,1627353,125978966675000.0,13892.0,1294788.0,0.7956000000000001,2016,10,18,785.695,723.148,45.402990067787975
3862,2016-10-19,KOTAKBANK,EQ,776.95,779.0,785.0,772.45,773.0,774.0,778.89,1057893,82397998045000.0,25967.0,608664.0,0.5754,2016,10,19,786.051,723.51125,43.82072281283503
3863,2016-10-20,KOTAKBANK,EQ,774.0,781.9,783.0,770.55,774.0,772.35,774.79,1661867,128759304565000.02,27262.0,1193001.0,0.7179000000000001,2016,10,20,786.37,723.8330000000001,42.919775409336474
3864,2016-10-21,KOTAKBANK,EQ,772.35,770.05,783.15,768.95,778.0,781.5,774.06,1767446,136810975125000.0,10011.0,1360236.0,0.7696,2016,10,21,786.513,724.2094999999999,49.161882239912096
3865,2016-10-24,KOTAKBANK,EQ,781.5,781.9,789.55,777.5,787.6,787.35,784.39,939931,73727334660000.0,25103.0,644765.0,0.6859999999999999,2016,10,24,786.83,724.6005,52.72169287975224
3866,2016-10-25,KOTAKBANK,EQ,787.35,789.95,793.0,780.55,785.0,786.55,787.75,3267465,257395221515000.0,32313.0,2096841.0,0.6417,2016,10,25,787.2660000000001,724.933,52.18355949247205
3867,2016-10-26,KOTAKBANK,EQ,786.55,783.0,821.0,781.1,811.95,811.5,810.95,4431744,359392895170000.0,86786.0,3034917.0,0.6848000000000001,2016,10,26,788.2710000000001,725.35425,64.39102089823096
3868,2016-10-27,KOTAKBANK,EQ,811.5,812.0,812.0,801.0,806.0,806.6,804.76,1094848,88109109535000.0,35770.0,605245.0,0.5528000000000001,2016,10,27,789.11,725.8607499999999,61.09230552379841
3869,2016-10-28,KOTAKBANK,EQ,806.6,806.55,822.0,800.0,820.4,819.35,814.55,1441990,117456827505000.0,34823.0,994603.0,0.6897,2016,10,28,790.2389999999999,726.41875,65.97654289168591
3870,2016-10-30,KOTAKBANK,EQ,819.35,826.0,826.0,816.35,818.0,819.65,820.94,171508,14079845230000.002,4243.0,86081.0,0.5019,2016,10,30,791.176,726.9989999999999,66.0844266782903
3871,2016-11-01,KOTAKBANK,EQ,819.65,819.9,819.9,804.0,804.4,805.55,809.26,1175512,95129818435000.0,27164.0,723675.0,0.6156,2016,11,1,791.974,727.5684999999999,56.9450557273645
3872,2016-11-02,KOTAKBANK,EQ,805.55,799.9,806.15,795.9,803.1,804.0,802.91,1268772,101871252275000.0,58869.0,870342.0,0.6859999999999999,2016,11,2,792.3660000000001,728.1129999999998,56.027742676060576
3873,2016-11-03,KOTAKBANK,EQ,804.0,803.7,810.95,797.0,808.7,806.0,803.53,796457,63997388440000.0,33697.0,402226.0,0.505,2016,11,3,792.9110000000001,728.63875,56.99048285723525
3874,2016-11-04,KOTAKBANK,EQ,806.0,809.8,812.0,790.1,798.25,799.65,799.81,1094318,87524835465000.0,17792.0,578760.0,0.5289,2016,11,4,793.447,729.1770000000001,53.02123184897413
3875,2016-11-07,KOTAKBANK,EQ,799.65,807.6,807.95,800.0,801.5,801.85,803.31,996592,80057241595000.0,22135.0,536968.0,0.5388000000000001,2016,11,7,793.9170000000001,729.7404999999999,54.21110330207327
3876,2016-11-08,KOTAKBANK,EQ,801.85,802.8,815.3,794.0,814.0,811.8,804.01,966350,77695633850000.0,27634.0,562409.0,0.5820000000000001,2016,11,8,794.613,730.3790000000001,59.239432737977516
3877,2016-11-09,KOTAKBANK,EQ,811.8,778.8,829.4,762.0,822.1,822.1,792.89,4270134,338573572955000.0,55283.0,2490754.0,0.5833,2016,11,9,795.44,731.1115000000001,63.685193657640134
3878,2016-11-10,KOTAKBANK,EQ,822.1,828.2,833.45,813.1,821.4,819.25,822.85,2577155,212060629360000.0,58887.0,1353255.0,0.5251,2016,11,10,796.209,731.8707500000002,61.68050861800603
3879,2016-11-11,KOTAKBANK,EQ,819.25,813.0,825.5,807.5,816.9,815.6,814.5,2315638,188608909625000.0,36249.0,1377370.0,0.5948,2016,11,11,796.893,732.60525,59.11406805553362
3880,2016-11-15,KOTAKBANK,EQ,815.6,818.5,818.5,783.5,787.55,789.55,796.05,3019854,240395241990000.0,54315.0,2047020.0,0.6779000000000001,2016,11,15,796.9609999999999,733.2397500000001,44.79006253403647
3881,2016-11-16,KOTAKBANK,EQ,789.55,796.85,796.85,766.9,770.0,770.55,771.54,4728488,364821690800000.0,71472.0,3779175.0,0.7992,2016,11,16,796.234,733.78825,37.628315651078154
3882,2016-11-17,KOTAKBANK,EQ,770.55,766.1,782.2,766.1,781.0,776.25,772.34,1588701,122700975059999.98,37421.0,1129000.0,0.7106,2016,11,17,795.545,734.2542500000001,40.69208383588872
3883,2016-11-18,KOTAKBANK,EQ,776.25,780.95,785.0,773.35,779.4,779.25,777.6,1350361,105004304820000.0,22075.0,797122.0,0.5903,2016,11,18,794.8580000000001,734.7455,42.29860274588672
3884,2016-11-21,KOTAKBANK,EQ,779.25,780.0,780.95,753.7,764.05,762.7,763.64,2051821,156685270875000.0,30484.0,1373089.0,0.6692,2016,11,21,793.7509999999999,735.186,36.43512981081382
3885,2016-11-22,KOTAKBANK,EQ,762.7,765.2,772.5,761.55,770.4,769.6,766.42,1700599,130337435825000.0,43559.0,1167910.0,0.6868000000000001,2016,11,22,793.0609999999999,735.7177500000001,40.15955692615284
3886,2016-11-23,KOTAKBANK,EQ,769.6,772.0,774.0,765.0,765.25,766.15,768.19,1377635,105828194180000.0,12494.0,1106844.0,0.8034,2016,11,23,791.9889999999999,736.1305,38.93128166551243
3887,2016-11-24,KOTAKBANK,EQ,766.15,760.0,760.0,736.85,748.95,742.1,747.41,5074907,379301481965000.0,70622.0,3705257.0,0.7301000000000001,2016,11,24,790.454,736.4025,31.66153295396451
3888,2016-11-25,KOTAKBANK,EQ,742.1,747.0,759.65,744.95,750.25,752.15,752.41,1567193,117917618034999.98,21752.0,977080.0,0.6235,2016,11,25,789.2309999999999,736.7775,36.959125936767514
3889,2016-11-28,KOTAKBANK,EQ,752.15,744.4,753.0,736.2,750.0,750.15,746.59,2300878,171781477470000.0,42504.0,1852874.0,0.8053,2016,11,28,788.115,737.2005,36.35513867625372
3890,2016-11-29,KOTAKBANK,EQ,750.15,748.0,752.5,742.7,744.0,745.4,748.1,1010013,75558946765000.0,54658.0,692852.0,0.6859999999999999,2016,11,29,786.8510000000001,737.54625,34.89653697753586
3891,2016-11-30,KOTAKBANK,EQ,745.4,746.0,760.0,740.0,754.15,755.45,750.54,1133785,85094559820000.0,38020.0,585978.0,0.5168,2016,11,30,785.828,737.8635,40.34961021866682
3892,2016-12-01,KOTAKBANK,EQ,755.45,755.0,756.45,741.2,743.25,744.95,746.52,1151007,85924459605000.0,31559.0,750680.0,0.6522,2016,12,1,784.67,738.2227499999999,36.87448012596581
3893,2016-12-02,KOTAKBANK,EQ,744.95,740.0,744.0,720.0,724.2,723.55,724.64,2845037,206162962725000.0,57450.0,1821699.0,0.6403,2016,12,2,783.286,738.4552500000001,31.012121780531913
3894,2016-12-05,KOTAKBANK,EQ,723.55,726.0,731.9,723.0,730.0,729.8,728.55,927956,67606169004999.99,20362.0,561472.0,0.6051,2016,12,5,782.114,738.7675,34.29745608323394
3895,2016-12-06,KOTAKBANK,EQ,729.8,731.0,737.7,730.25,735.0,734.0,734.73,496101,36450115525000.0,22062.0,304907.0,0.6146,2016,12,6,780.8910000000001,739.29275,36.48636507362041
3896,2016-12-07,KOTAKBANK,EQ,734.0,735.55,739.5,724.55,735.55,734.35,734.09,2132390,156535798090000.0,36318.0,1528248.0,0.7167,2016,12,7,779.655,739.8544999999999,36.67569505351232
3897,2016-12-08,KOTAKBANK,EQ,734.35,736.1,751.4,736.1,749.5,748.65,746.6,826615,61715185579999.99,33110.0,511419.0,0.6187,2016,12,8,778.873,740.4715,44.01831519920413
3898,2016-12-09,KOTAKBANK,EQ,748.65,749.5,752.5,742.85,743.0,745.25,746.59,811067,60553851625000.0,20929.0,516013.0,0.6362,2016,12,9,778.089,741.0965,42.74910027103347
3899,2016-12-12,KOTAKBANK,EQ,745.25,746.0,746.5,728.6,730.0,729.85,733.85,395441,29019620785000.004,20497.0,251441.0,0.6358,2016,12,12,777.04,741.6192500000001,37.47796412143318
3900,2016-12-13,KOTAKBANK,EQ,729.85,728.0,738.35,723.0,728.35,730.95,730.08,686064,50088035360000.0,17000.0,349541.0,0.5095000000000001,2016,12,13,776.207,742.09625,38.06540907362186
3901,2016-12-14,KOTAKBANK,EQ,730.95,730.3,731.55,723.5,730.0,727.8,727.09,852595,61991677700000.0,33775.0,508919.0,0.5969,2016,12,14,775.2230000000001,742.57925,36.99349018416348
3902,2016-12-15,KOTAKBANK,EQ,727.8,718.8,734.6,712.0,725.0,724.75,726.29,1043365,75778948635000.0,32918.0,665472.0,0.6378,2016,12,15,773.957,743.002,35.93822404350453
3903,2016-12-16,KOTAKBANK,EQ,724.75,725.0,727.0,717.2,718.85,719.1,719.68,3781538,272150134455000.03,57644.0,2752852.0,0.728,2016,12,16,772.505,743.4825,34.00318561418092
3904,2016-12-19,KOTAKBANK,EQ,719.1,719.0,721.95,715.4,719.95,719.65,718.63,1016994,73084157580000.0,45550.0,662613.0,0.6515000000000001,2016,12,19,771.255,743.987,34.37361920526865
3905,2016-12-20,KOTAKBANK,EQ,719.65,721.0,723.0,716.9,718.9,718.35,719.16,916751,65929515625000.0,28138.0,565227.0,0.6165999999999999,2016,12,20,769.962,744.5445,33.88942791542512
3906,2016-12-21,KOTAKBANK,EQ,718.35,717.1,726.5,717.1,720.0,719.8,719.96,1074562,77364146715000.0,38032.0,755858.0,0.7034,2016,12,21,768.705,745.0647499999999,34.989408854388444
3907,2016-12-22,KOTAKBANK,EQ,719.8,718.5,719.0,711.5,713.0,713.15,713.53,841012,60008657204999.99,18666.0,582399.0,0.6925,2016,12,22,767.364,745.4784999999999,32.3324140655924
3908,2016-12-23,KOTAKBANK,EQ,713.15,705.1,714.0,704.1,713.0,711.75,710.04,1021690,72543910255000.0,29220.0,624937.0,0.6117,2016,12,23,766.1520000000002,745.845,31.78518406076087
3909,2016-12-26,KOTAKBANK,EQ,711.75,711.9,714.0,704.25,710.7,711.05,708.3,485656,34399254495000.0,12171.0,237559.0,0.4892,2016,12,26,764.738,746.11875,31.498125065325326
3910,2016-12-27,KOTAKBANK,EQ,711.05,707.15,716.0,705.6,710.5,712.15,710.59,1337045,95009052135000.0,21071.0,1055778.0,0.7896,2016,12,27,763.596,746.39125,32.52932017465635
3911,2016-12-28,KOTAKBANK,EQ,712.15,712.0,718.9,709.1,711.1,713.05,713.33,1211967,86453815770000.0,35538.0,827530.0,0.6828000000000001,2016,12,28,762.318,746.62825,33.41253304287994
3912,2016-12-29,KOTAKBANK,EQ,713.05,710.0,715.0,708.35,713.4,713.4,712.39,1303123,92832607120000.0,34416.0,961238.0,0.7376,2016,12,29,761.1059999999999,746.9425,33.77559320481075
3913,2016-12-30,KOTAKBANK,EQ,713.4,714.1,722.75,714.1,717.45,719.7,719.9,990367,71296918415000.0,35475.0,669608.0,0.6761,2016,12,30,760.053,747.2415,40.10593396125272
3914,2017-01-02,KOTAKBANK,EQ,719.7,720.0,721.0,708.25,716.0,714.8,713.56,1206555,86095498860000.0,22541.0,750330.0,0.6219,2017,1,2,758.7189999999999,747.5425,37.13284787886671
3915,2017-01-03,KOTAKBANK,EQ,714.8,714.95,717.45,707.15,712.0,711.75,713.29,1381976,98575292530000.0,20803.0,963037.0,0.6969,2017,1,3,757.207,747.888,35.37499054707301
3916,2017-01-04,KOTAKBANK,EQ,711.75,713.0,713.0,692.5,698.0,695.6,699.99,4258608,298099929480000.0,70201.0,2504370.0,0.5881000000000001,2017,1,4,755.388,748.182,27.85542804551153
3917,2017-01-05,KOTAKBANK,EQ,695.6,702.85,702.85,696.2,698.0,698.95,699.56,2180203,152518595530000.0,48345.0,1330312.0,0.6102000000000001,2017,1,5,753.137,748.47925,31.125890742701017
3918,2017-01-06,KOTAKBANK,EQ,698.95,698.0,718.5,693.35,714.9,716.85,706.36,3664687,258859156705000.03,45308.0,2109747.0,0.5757,2017,1,6,751.342,748.8072500000001,45.3750567204557
3919,2017-01-09,KOTAKBANK,EQ,716.85,718.0,724.25,707.1,710.0,709.25,715.49,1540326,110208310855000.0,32211.0,952430.0,0.6183,2017,1,9,749.14,749.09725,41.45365344638772
3920,2017-01-10,KOTAKBANK,EQ,709.25,711.1,715.7,710.0,712.45,712.65,712.68,867005,61790132275000.0,26496.0,610288.0,0.7039,2017,1,10,747.0,749.3665,43.79388019542918
3921,2017-01-11,KOTAKBANK,EQ,712.65,715.0,733.8,708.0,727.65,728.4,720.57,3577518,257784808625000.0,84154.0,2123808.0,0.5937,2017,1,11,745.457,749.69,53.13848231069144
3922,2017-01-12,KOTAKBANK,EQ,728.4,732.45,732.45,723.05,727.25,727.95,728.51,1106785,80630101335000.0,19428.0,627971.0,0.5674,2017,1,12,743.9359999999999,749.99825,52.86803230482398
